Track name,Artist name,Fuente letra,Clasificación,Motivos
Break In,Halestorm,Genius,VERDE,"La canción ejemplifica una vulnerabilidad sana y honesta, donde la protagonista decide bajar sus barreras emocionales (""bricks"") ante alguien en quien confía plenamente. La letra describe una relación de apoyo mutuo y validación (""you make me whole"", ""trusts me""), donde la ""indefensión"" no es peligro, sino la valentía de dejarse ver tal cual se es. No hay toxicidad, sino la celebración de una conexión íntima que sana el aislamiento y ofrece refugio (""lead me back home"")."
Pieces,Red,Genius,VERDE,"La canción expresa una vulnerabilidad sana y honesta al admitir el agotamiento y la sensación de estar ""roto"" (""broken mess"", ""scattered pieces""), pero se enfoca enteramente en la sanación, la esperanza y la restauración (""make me whole""). Al considerar el contexto de la banda (rock cristiano), la dependencia que describe no es tóxica ni manipuladora, sino una rendición espiritual que busca paz y completitud, funcionando como una herramienta de consuelo y resiliencia frente a la soledad y el fracaso personal."
Lost Control,Alan Walker,Genius,NARANJA,"La letra refleja una resignación ante el sufrimiento emocional y una normalización del dolor como identidad (""I am damaged all the way"", ""not to blame""). Contiene elementos que asocian el amor y la seguridad con el dolor (""What is love without pain? It ain't home"") y encuentra cierto placer o confort en la inestabilidad (""Chaos feels so good inside""), lo cual encaja en la subcategoría de autodesprecio intenso o depresión sin intención activa de recuperación, requiriendo madurez emocional para no validar patrones de indefensión."
Ethereal,Txmy,Genius,VERDE,"La canción expresa un amor romántico idealizado y apasionado (""ethereal"", ""souls entwined"") sin elementos tóxicos. Aunque utiliza metáforas intensas como ""dinamita"" o el contraste luz/oscuridad, estas describen la química sexual y emocional positiva entre dos personas, encajando en la categoría de conexión emocional genuina y erotismo con respeto."
The Unknown,Crossfade,Genius,NARANJA,"La letra refleja una desesperación emocional intensa que cruza hacia la toxicidad y la invasión de límites. Frases como ""Can you bleed for me?"" (¿Puedes sangrar por mí?) demandan sacrificio o dolor como prueba de conexión, y ""Steppin' all over your soul"" (Pisoteando tu alma) sugiere una intrusión agresiva en la psique del otro. Se clasifica como NARANJA por representar una dependencia emocional peligrosa y una dinámica donde se normaliza el daño emocional (""wait in pain"") y la transgresión de la identidad ajena para sentirse validado."
My Immortal,Evanescence,Genius,AMARILLO,"La canción aborda sentimientos intensos de duelo, melancolía y la persistencia dolorosa de los recuerdos (""these wounds won't seem to heal""). Aunque describe un dolor profundo que parece no tener fin y una sensación de estar atrapado en el pasado, no glorifica el sufrimiento ni la autodestrucción; por el contrario, la voz narrativa expresa cansancio y un deseo explícito de que esa presencia se marche (""I wish that you would just leave"") para dejar de sufrir, lo que denota una intención de recuperación y liberación. Es una canción de catarsis emocional que valida la tristeza, pero su intensidad puede resultar pesada si el oyente se encuentra en un estado muy vulnerable."
the way things go,beabadoobee,Genius,VERDE,"La canción es un ejemplo claro de procesamiento emocional sano y madurez tras una ruptura. Aunque menciona decepciones y comportamientos cuestionables de la expareja (""stoop so low""), la narradora decide explícitamente ser la persona madura (""the bigger guy""), no guardar rencor y aceptar la realidad con paz (""that's the way things go""). Afirma su propia felicidad actual (""I'm happy now"") y muestra resiliencia al dejar ir el pasado sin caer en la venganza ni en la depresión, validando el desapego como una forma de autocuidado."
Forgotten Phone,Stöj Snak,Genius,VERDE,"La canción realiza una crítica honesta y necesaria a la superficialidad de las redes sociales y la dependencia de la validación externa (""smiles and upright thumbs""). Aunque aborda temas existenciales (la insignificancia cósmica, el miedo al olvido) y sentimientos de soledad o inautenticidad, lo hace como un ejercicio de ""vulnerabilidad sana"". No se estanca en la desesperanza; al contrario, el desenlace muestra una resolución constructiva: ante la ausencia de notificaciones y el silencio digital, el protagonista decide crear algo tangible (""wrote this down"") para dar valor a su experiencia por sí mismo. Es un procesamiento emocional maduro que invita a desconectar de la pantalla y reconectar con la realidad creativa, sin glorificar el daño ni el aislamiento."
Last Goodbye,Dead by April,Genius,NARANJA,"La letra refleja una ""depresión peligrosa sin intención de recuperación"" (criterio Naranja A), caracterizada por la desesperanza absoluta (""nothing can stop it"", ""chanceless"") y la resignación ante el colapso emocional (""waiting for the pound""). Frases como ""You will see me die before I love again"" y ""Say my last goodbye"" eliminan cualquier perspectiva de superación, anclando al oyente en un estado de fatalismo y ""muerte"" emocional permanente tras la ruptura, lo cual puede alimentar patrones dañinos si se escucha en un estado vulnerable."
Dream On,Aerosmith,Genius,VERDE,"La canción es un himno clásico de resiliencia y perseverancia sana. Aunque la letra muestra vulnerabilidad al reflexionar sobre el envejecimiento, el paso del tiempo y la mortalidad (""Maybe tomorrow, the good Lord will take you away""), procesa estas inquietudes existenciales con una perspectiva de crecimiento (""You got to lose to know how to win""). Invita a aceptar la totalidad de la experiencia humana, tanto el dolor como la alegría (""Sing for the laughter and sing for the tear""), y motiva a seguir luchando por las metas personales sin caer en la autodestrucción. Es un ejemplo claro de empoderamiento y esperanza (""Dream until your dreams come true"")."
Hell is a Dance Floor,Vincent Mason,Genius,AMARILLO,"La canción aborda un desamor doloroso y emociones intensas (""mi corazón rompiéndose"", ""un nuevo fondo""), describiendo la vulnerabilidad de ver a una expareja con otro. Menciona el consumo de alcohol como mecanismo de afrontamiento pasado (""drowning whiskey"") sin glorificarlo, clasificándola como una canción de procesamiento emocional que puede pesar si se está sensible."
Hymn for the Weekend,Coldplay,Genius,VERDE,"La canción utiliza referencias a la embriaguez (""drunk and high"") y las drogas (""love's a drug"") exclusivamente como metáforas para describir la euforia del amor, la gratitud y la elevación espiritual, sin glorificar el consumo real de sustancias ni la autodestrucción. Promueve una celebración de la vida y la conexión emocional que revitaliza (""When I was down... You came to lift me up""), encajando en una vulnerabilidad sana y disfrute positivo."
The Good Part,AJR,Genius,VERDE,"La canción expresa ansiedad existencial, inseguridad sobre el éxito (""I'm not important yet"") y agotamiento emocional ante la dificultad del proceso (""It's so hard""), buscando evadir el presente; además, incluye una mención al consumo de sustancias (""smoked at dances"") que, aunque no se glorifica y se presenta como insatisfactoria, impide su clasificación en Verde según las reglas estrictas sobre sustancias."
Emily Ever After,Bridge to Grace,Genius,NARANJA,"La canción narra una historia de obsesión oscura y perturbación mental (""losing my mind"", ""coming undone"") con imágenes macabras explícitas (""I buried her body 6 feet deep"") que sugieren culpa severa o un crimen pasional, ya sea literal o metafórico. Aunque menciona brevemente la necesidad de soltar (""It's time that I let her go""), la narrativa general glorifica una dependencia emocional tóxica y permanente hacia el recuerdo o fantasma (""Stay with me forever"", ""I'm still at your command""), normalizando el tormento psicológico sin ofrecer una resolución saludable."
Bleeding Out,Imagine Dragons,Genius,NARANJA,"La letra presenta una ""autoexigencia extrema"" y una idealización del sacrificio personal desmedido (""I'll bleed out for you"", ""bare my skin""), donde el protagonista está dispuesto a consumirse emocional y físicamente por otra persona. Aunque la intención es mostrar devoción y protección (""I will be your scarecrow""), la narrativa carece de límites saludables y normaliza el sufrimiento intenso y el agotamiento total (""aguantar todo"") como validación del amor, lo que la convierte en una canción catártica pero con riesgo de alimentar patrones de dependencia o mártir si se está vulnerable."
No More,Three Days Grace,Genius,VERDE,"La canción expresa un agotamiento emocional profundo y una sensación de vulnerabilidad ante el miedo (""I can't fight the fear""), lo que la hace demasiado intensa para una lista de reproducción relajada (Verde). Sin embargo, se clasifica como Amarilla porque el mensaje central es el rechazo a continuar en esa situación dañina (""No more"", ""I can't take it""), actuando como un reconocimiento de límites y una decisión de no normalizar el sufrimiento, sin llegar a la desesperanza tóxica o resignación de la categoría Naranja."
Under Your Scars,Godsmack,Genius,AMARILLO,"Aunque la intención del artista y el contexto (vinculado a The Scars Foundation) buscan promover la aceptación de los traumas y la salud mental, la letra refleja una intensidad emocional alta y rasgos de dependencia moderada (""everything feels broken when you're not next to me"", ""Would you still be you if we weren't we?""). Es una canción de apoyo y amor profundo, pero carga con el peso de procesar el dolor (""cicatrices"") y una fuerte necesidad de vinculación, lo que la hace ""buena pero intensa"" en lugar de ligera."
Whirring,The Joy Formidable,Genius,AMARILLO,"La canción aborda la frustración por la incomunicación (""words fall short"") y una agitación interna o ansiedad que perturba el descanso (""you make me sleep so badly""), aludiendo a momentos de desgaste vital (""life's will gone shallow""). Se clasifica como amarilla porque expresa emociones intensas, inseguridad y turbulencia relacional de forma catártica, sin glorificar el daño pero reconociendo el peso emocional del conflicto."
Stay,Smash Into Pieces,Genius,AMARILLO,"La canción trata sobre el arrepentimiento profundo y la culpa tras una ruptura causada por el propio ego y la negligencia del narrador (""taking you for granted"", ""trying to be someone""). Aunque muestra una vulnerabilidad honesta y asume la responsabilidad de sus errores (lo cual es positivo), la temática se centra en la nostalgia dolorosa, la sensación de pérdida irreversible (""lost it all in the end"") y el peso de la soledad (""wake up like a ghost""). Es adecuada para procesar emociones de duelo y rectificación, pero su carga melancólica la sitúa en la categoría de ""buena pero intensa"", ya que puede pesar si se está muy sensible."
Lost (2016 Remastered),Red,Genius,AMARILLO,"Aunque la melodía es festiva, la letra (que pertenece a ""La Calle de los Morenos"" de Los Delinqüentes, no a ""Red"") normaliza y celebra un estilo de vida marginal (""la mala vida"") centrado en la ""botica"" (punto de venta/consumo de drogas, referenciado con ""azúcar y menta"", ""volar sin humá"") y la evasión policial (""secreta"", ""Inspector Pocholo""). Según el criterio más restrictivo del semáforo, al normalizar el contexto de sustancias/ilegalidad sin intención de cambio o crítica, supera el nivel Amarillo y requiere madurez (Naranja) para separar el folclore cultural de la glorificación de conductas de riesgo."
Color of Your Eyes,Smash Into Pieces,Genius,NARANJA,"La canción aborda el duelo profundo y el arrepentimiento por un hijo no nacido (contexto de aborto o pérdida), expresando un dolor persistente (""it kills me"") y pensamientos oscuros (""black mind"") sin ofrecer una resolución o cierre emocional. Aunque es una expresión honesta de vulnerabilidad, la falta de una perspectiva de recuperación explícita y la naturaleza cíclica del lamento (""can't find the reason why"") la clasifican como una canción catártica que requiere estabilidad emocional previa, ya que puede alimentar la rumiación depresiva o la culpa si se está vulnerable."
Todo Cuenta,DLD,Genius,VERDE,"La canción describe un ciclo de duelo saludable y completo: admite la vulnerabilidad y el aislamiento inicial (""no quiero ver el Sol""), pero transita hacia la resiliencia (""pude estar sin ti"") y la recuperación explícita (""ya me siento mejor""). Fomenta la aceptación de la impermanencia (""todo cambia, todo se acaba"") y una madurez emocional que permite mirar al pasado con humor y sin rencor, clasificándose como un procesamiento sano con perspectiva de crecimiento."
Into the Dark,Downplay,Genius,VERDE,"La canción es un himno de **empoderamiento y resiliencia**; la letra describe el acto valiente de romper con el estancamiento (""stuck"", ""chains"") y asumir riesgos para cambiar el propio destino (""will I find a change""). Aunque menciona la incertidumbre (""dark unknown"") y el desgaste emocional (""come undone""), la narrativa rechaza la pasividad y la victimización, priorizando la **acción proactiva** y la liberación personal. No glorifica la autodestrucción, sino el coraje necesario para abandonar una situación que ya no aporta crecimiento."
Cinnamon Girl,Lana Del Rey,Genius,NARANJA,"La canción expone una dinámica de dependencia emocional y falta de límites sanos (""You try to push me out, but I just find my way back in""), combinada con la mención de consumo de pastillas por parte de la pareja como mecanismo de evasión. La letra ""If you hold me without hurting me, you'll be the first who ever did"" revela un historial profundo de relaciones abusivas o traumáticas, lo cual, aunque busca sanar, puede ser detonante (triggering) al normalizar el sufrimiento previo como el estándar en la vida amorosa de la protagonista."
Dream On,Blacktop Mojo,Genius,VERDE,"La canción es un himno de resiliencia y esperanza que procesa el paso del tiempo y la mortalidad desde una perspectiva sana y motivadora. Aunque reconoce la vejez y la fragilidad de la vida (""Maybe tomorrow, the good Lord will take you away""), utiliza esto como impulso para vivir el presente (""Sing for the year"") y persistir en las metas (""Dream until your dream come true""). Valida el espectro emocional completo (risas y lágrimas) y reencuadra el fracaso como un aprendizaje necesario (""You got to lose to know how to win""), promoviendo la superación personal sin toxicidad."
Something to Remind You,Staind,Genius,AMARILLO,"La canción aborda temas de mortalidad, despedida y reflexión sobre los errores pasados con una profunda melancolía y aceptación sobria. Aunque describe la vida como un lugar difícil (""so cold"") y reconoce el sufrimiento, no glorifica la autodestrucción, sino que funciona como un cierre de ciclo (contextualmente interpretada como una despedida de una etapa de la banda) y el deseo de dejar un legado. Es una pieza de procesamiento emocional intenso y triste que requiere un estado de ánimo adecuado para escucharla, sin ser tóxica."
OK,Alan Walker,Genius,VERDE,"La canción presenta una vulnerabilidad sana y honesta al admitir el dolor de una ruptura y criticar la represión emocional (desafiando el estigma de que ""los chicos no lloran""). Aunque aborda la tristeza y la sensación de estar roto, el mensaje central es la resiliencia y la autoafirmación de que se recuperará (""Imma be OK""), cumpliendo con el criterio de procesamiento emocional sano con perspectiva de crecimiento y aceptación."
ECHO,STARSET,Genius,AMARILLO,"La canción explora el arrepentimiento profundo, la soledad y la culpa tras perder una relación significativa debido al ego y la ambición personal (""I was only in my mind""). Aunque existe un reconocimiento honesto y sano de los propios errores (no culpa al otro, sino a su propia ""ceguera""), el tono es de melancolía intensa y la resolución es dolorosa (el narrador se queda solo con su ""eco""). Es adecuada para procesar la pérdida y la humildad, pero su carga emocional de nostalgia y vacío puede pesar si el oyente se encuentra vulnerable."
Where Did You Go,Downplay,Genius,AMARILLO,"La canción aborda temas de ruptura dolorosa, duelo profundo (""left a man in mourning"") y la etapa de negociación (""couldn't we try to start this over?""), encajando en el criterio de emociones intensas y melancolía que pesan emocionalmente. Aunque hay vulnerabilidad, se clasifica como Amarilla debido a la dependencia emocional implícita en líneas como ""waiting until the end"" y la desesperación por el retorno del otro para sentirse ""liberado"", lo cual refleja un apego intenso y una dificultad para soltar (stuck in grief) que podría anclar al oyente en la tristeza si se escucha en bucle, aunque no presenta la toxicidad o peligro del nivel Naranja."
Forget It,Breaking Benjamin,Genius,NARANJA,"La letra refleja depresión funcional (""I'm alive, but I can surely fake it""), autosabotaje y una resignación a permanecer estancado en el dolor o la oscuridad (""I can live forever here""), sugiriendo la negación y la represión como única salida."
Words As Weapons,Seether,Genius,NARANJA,"La canción describe explícitamente una relación de abuso emocional y manipulación (""keep me terrified"", ""living in your own lie""), funcionando como una confrontación y expresión de rabia justificada hacia el agresor (Categoría B). Aunque el narrador desenmascara al otro (""You're nothing in my world""), la intensidad del daño descrito (parálisis, ahogo) la convierte en una pieza catártica y ""filosa"", útil para procesar la toxicidad pero emocionalmente densa para una escucha despreocupada."
Crash,Seether,Genius,NARANJA,"La canción describe una dinámica relacional tóxica y manipuladora (""play your game"") con un desequilibrio de poder (""carry a big gun""). El narrador manifiesta un agotamiento emocional profundo, sintiéndose vacío, derrotado y avergonzado (""send me back for shame""). Se clasifica como Naranja porque, a pesar de reconocer el daño, existe una señal de dependencia emocional peligrosa o sumisión en la frase ""I'll try a little harder"", lo que sugiere un patrón de ""aguantar"" dentro del ciclo tóxico en lugar de una ruptura sana o empoderada."
Nobody Praying For Me,Seether,Genius,NARANJA,"La canción encaja en la subcategoría de ""contenido emocional peligroso"" debido a su autodesprecio intenso y constante (se define como ""decadencia"", ""peligro"", ""agujero negro""). La letra transmite una profunda desesperanza, aislamiento (""Nobody praying for me"") y una visión cínica de la sociedad que disfruta viendo caer a otros, sin ofrecer una perspectiva de recuperación o resiliencia. Si bien el contexto del artista (Shaun Morgan) sugiere una crítica a la cultura mediática y la falta de empatía policial/social, la narrativa interna es de resignación ante el dolor y el abandono, lo cual puede alimentar patrones de desesperanza en oyentes vulnerables."
